Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Riya Nair,21,Female ,SocialPrachar,Ethical Hacking,Online,5 months,,3,53,78,No Certification,64,No
Jhanvi Nair,22,Male,SocialPrachar,AI &ML,Online,6 months ,9,,75,80,NASSCOM Certification,71,Yes
Isha Pillai,25,Male ,SocialPrachar,Cloud Computing,Offline,7 months,9,3,24,82,AWS Specialization,95,No
Aarohi Deshmukh,26,Male,SocialPrachar,Cloud Computing,Offline,6 months,5,3,79,88,NASSCOM Certification,66,Yes
Shivansh Nair,22,Female ,SocialPrachar,Python Programming,Offline,,8,2,96,86,AWS Specialization,90,Yes
Neha Verma,25,Female ,SocialPrachar,Robotics,Offline,6 months,9,3,71,76,NASSCOM Certification,95,No
Kabir Verma,23,Female ,SocialPrachar,Web Development,Offline,7 months,7,3,35,76,No Certification,97,No
Shruti Reddy,,Male,SocialPrachar,Robotics,Online,8 months,9,3,23,91,No Certification,70,No
Gayatri Verma,24,Male,SocialPrachar,Web Development,Offline,6 months,5,2,17,100,NASSCOM Certification,88,No
Aryan Venkatesh,25,Female ,Naresh i technologies,Robotics,Offline,5 months,6,2,37,71,IIT Madras Standard Course,87,Yes
Samar Chopra,22,Female ,Levelup,Ethical Hacking,Offline,5 months,7,1,13,91,No Certification,64,Yes
Om Sharma,22,Female ,Levelup,Robotics,Online,6 months ,10,2,12,73,No Certification,97,Yes
Laksh Iyer,22,Male,Naresh i technologies,Software Testing,Online,7 months,5,2,4,86,No Certification,77,Yes
Sai Pillai,22,Male ,SocialPrachar,Cloud Computing,Online,6 months,8,2,40,85,AWS Specialization,93,No
Harsh Sharma,22,Male,SocialPrachar,Data Science,Online,5 months,5,1,77,71,IIT Madras Standard Course,73,No
Radha Chopra,22,Female ,SocialPrachar,Web Development,Offline,6 months,10,3,93,74,NASSCOM Certification,77,No
Kunal Pandey,22,Female ,Levelup,AI &ML,Online,7 months,10,2,49,98,No Certification,81,Yes
Kunal Bhat,23,Female ,Naresh i technologies,Robotics,Online,8 months,5,2,31,87,IIT Madras Standard Course,70,Yes
Bhavna Nair,25,Male,Naresh i technologies,AI &ML,Offline,6 months,9,1,26,73,IIT Madras Standard Course,82,Yes
Riya Verma,21,Male,SocialPrachar,Cybersecurity,Online,5 months,5,3,64,73,No Certification,93,No
Vikram Kapoor,22,Female ,Naresh i technologies,Ethical Hacking,Online,5 months,9,1,1,79,No Certification,66,Yes
Aadhya Malhotra,24,Female ,SocialPrachar,Data Science,Online,6 months ,5,3,91,84,No Certification,91,Yes
Neha Gowda,24,Female ,Levelup,Data Science,Offline,7 months,10,3,75,84,No Certification,69,Yes
Neha Sharma,24,Male,SocialPrachar,Data Analytics,Online,6 months,6,2,96,80,IIT Madras Standard Course,63,No
Gayatri Naidu,25,Male ,SocialPrachar,Software Testing,Offline,5 months,5,1,98,78,NASSCOM Certification,70,No
Shruti Kulkarni,23,Male,Naresh i technologies,Cybersecurity,Online,6 months,8,2,100,98,NASSCOM Certification,89,No
Pooja Reddy,26,Female ,Naresh i technologies,Ethical Hacking,Online,7 months,6,1,43,98,AWS Specialization,89,No
Pooja Chopra,24,Female ,Naresh i technologies,Cloud Computing,Online,8 months,8,1,54,78,No Certification,76,No
Suman Deshmukh,25,Female ,Levelup,AI &ML,Online,6 months,,2,20,80,AWS Specialization,61,No
Arjun Malhotra,,Male,Naresh i technologies,AI &ML,Online,5 months,10,3,44,75,Harvard University Professional Certificate,98,Yes
Priya Nair,25,Male,Levelup,Data Analytics,Offline,5 months,7,1,92,92,NASSCOM Certification,83,Yes
Meera Mehta,26,Female ,Naresh i technologies,Data Science,Offline,6 months ,7,3,51,95,No Certification,87,No
Shruti Chopra,22,Female ,Naresh i technologies,Web Development,Online,7 months,9,3,32,100,No Certification,66,Yes
Rohan Malhotra,25,Female ,SocialPrachar,Ethical Hacking,Online,6 months,6,2,95,94,AWS Specialization,87,Yes
Neha Chopra,23,Male,SocialPrachar,Cybersecurity,Offline,5 months,7,1,96,99,No Certification,68,Yes
Arjun Kulkarni,22,Male ,Naresh i technologies,Data Analytics,Offline,6 months,9,3,,90,No Certification,99,No
Aarav Sharma,24,Male,SocialPrachar,Ethical Hacking,Online,7 months,8,3,72,80,No Certification,82,Yes
Kabir Gowda,25,Female ,Naresh i technologies,Python Programming,Online,8 months,7,3,21,83,Harvard University Professional Certificate,98,Yes
Priya Kulkarni,22,Female ,Naresh i technologies,Data Science,Online,6 months,7,3,44,79,NASSCOM Certification,84,Yes
Aryan Kulkarni,22,Female ,Naresh i technologies,Data Analytics,Offline,5 months,10,1,39,91,No Certification,61,Yes
